description,variable_name
title,original_title
paper_id,paper_id
COS_pub_category,paper_discipline
OSF_link,general_osf_link
instructions,instructions_given
the_claim,original_claim
original_materials,original_materials
paper_link,paper_link
FINAL for experimental vs. observational,experimental_or_observational
short ref,original_paper_reference
